Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
10000000     | Nonexistent  | Nonexistent  | Array        | 12,394200 ms         | 0,000600 ms          | 1704,800000 ms       | 1704,799400 ms      Binært søk 20657,00 ganger raskere. Med sortering: Lineært søk 137,55 ganger raskere.
10000000     | Nonexistent  | Nonexistent  | List         | 25,196700 ms         | 0,000600 ms          | 2833,449500 ms       | 2833,448900 ms      Binært søk 41994,50 ganger raskere. Med sortering: Lineært søk 112,45 ganger raskere.
10000000     | Nonexistent  | ------       | LinkedList   | 27,180400 ms         | ------               | ------               | ------               
10000000     | Nonexistent  | Nonexistent  | Array        | 12,379000 ms         | 0,000500 ms          | 1708,777400 ms       | 1708,776900 ms      Binært søk 24758,00 ganger raskere. Med sortering: Lineært søk 138,04 ganger raskere.
10000000     | Nonexistent  | Nonexistent  | List         | 25,442200 ms         | 0,000800 ms          | 2938,702800 ms       | 2938,702000 ms      Binært søk 31802,75 ganger raskere. Med sortering: Lineært søk 115,51 ganger raskere.
10000000     | Nonexistent  | ------       | LinkedList   | 27,690400 ms         | ------               | ------               | ------               
10000000     | Nonexistent  | Nonexistent  | Array        | 12,386700 ms         | 0,000800 ms          | 1835,609800 ms       | 1835,609000 ms      Binært søk 15483,37 ganger raskere. Med sortering: Lineært søk 148,19 ganger raskere.
10000000     | Nonexistent  | Nonexistent  | List         | 24,227000 ms         | 0,000800 ms          | 2933,562000 ms       | 2933,561200 ms      Binært søk 30283,75 ganger raskere. Med sortering: Lineært søk 121,09 ganger raskere.
10000000     | Nonexistent  | ------       | LinkedList   | 27,175100 ms         | ------               | ------               | ------               
1000         | 637          | 905          | Array        | 0,045700 ms          | 0,052000 ms          | 0,293400 ms          | 0,241400 ms         Lineært søk 1,14 ganger raskere. Med sortering: Lineært søk 6,42 ganger raskere.
1000         | 637          | 905          | List         | 0,060700 ms          | 0,061200 ms          | 0,578600 ms          | 0,517400 ms         Lineært søk 1,01 ganger raskere. Med sortering: Lineært søk 9,53 ganger raskere.
1000         | 637          | ------       | LinkedList   | 0,293800 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 206          | 455          | Array        | 0,000400 ms          | 0,000100 ms          | 0,115100 ms          | 0,115000 ms         Binært søk 4,00 ganger raskere. Med sortering: Lineært søk 287,75 ganger raskere.
1000         | 206          | 455          | List         | 0,000600 ms          | 0,000200 ms          | 0,242900 ms          | 0,242700 ms         Binært søk 3,00 ganger raskere. Med sortering: Lineært søk 404,83 ganger raskere.
1000         | 206          | ------       | LinkedList   | 0,001200 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 592          | 999          | Array        | 0,000800 ms          | 0,000100 ms          | 0,108900 ms          | 0,108800 ms         Binært søk 8,00 ganger raskere. Med sortering: Lineært søk 136,12 ganger raskere.
1000         | 592          | 999          | List         | 0,002600 ms          | 0,000200 ms          | 0,329300 ms          | 0,329100 ms         Binært søk 13,00 ganger raskere. Med sortering: Lineært søk 126,65 ganger raskere.
1000         | 592          | ------       | LinkedList   | 0,004800 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | Nonexistent  | Array        | 0,001900 ms          | 0,000500 ms          | 0,139800 ms          | 0,139300 ms         Binært søk 3,80 ganger raskere. Med sortering: Lineært søk 73,58 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,004100 ms          | 0,000200 ms          | 0,327700 ms          | 0,327500 ms         Binært søk 20,50 ganger raskere. Med sortering: Lineært søk 79,93 ganger raskere.
1000         | Nonexistent  | ------       | LinkedList   | 0,007200 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | Nonexistent  | Array        | 0,002000 ms          | 0,000100 ms          | 0,143300 ms          | 0,143200 ms         Binært søk 20,00 ganger raskere. Med sortering: Lineært søk 71,65 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,002700 ms          | 0,000100 ms          | 0,247700 ms          | 0,247600 ms         Binært søk 27,00 ganger raskere. Med sortering: Lineært søk 91,74 ganger raskere.
1000         | Nonexistent  | ------       | LinkedList   | 0,004600 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | Nonexistent  | Array        | 0,001300 ms          | 0,000100 ms          | 0,116300 ms          | 0,116200 ms         Binært søk 13,00 ganger raskere. Med sortering: Lineært søk 89,46 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,004900 ms          | 0,000200 ms          | 0,360600 ms          | 0,360400 ms         Binært søk 24,50 ganger raskere. Med sortering: Lineært søk 73,59 ganger raskere.
1000         | Nonexistent  | ------       | LinkedList   | 0,005100 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 1073         | 6111         | Array        | 0,002400 ms          | 0,000300 ms          | 1,756100 ms          | 1,755800 ms         Binært søk 8,00 ganger raskere. Med sortering: Lineært søk 731,71 ganger raskere.
10000        | 1073         | 6111         | List         | 0,004700 ms          | 0,000300 ms          | 4,177300 ms          | 4,177000 ms         Binært søk 15,67 ganger raskere. Med sortering: Lineært søk 888,79 ganger raskere.
10000        | 1073         | ------       | LinkedList   | 0,005200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 2770         | 9445         | Array        | 0,005100 ms          | 0,000200 ms          | 1,545200 ms          | 1,545000 ms         Binært søk 25,50 ganger raskere. Med sortering: Lineært søk 302,98 ganger raskere.
10000        | 2770         | 9445         | List         | 0,008700 ms          | 0,000400 ms          | 3,248800 ms          | 3,248400 ms         Binært søk 21,75 ganger raskere. Med sortering: Lineært søk 373,43 ganger raskere.
10000        | 2770         | ------       | LinkedList   | 0,012600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 3565         | 4700         | Array        | 0,007400 ms          | 0,000200 ms          | 1,702000 ms          | 1,701800 ms         Binært søk 37,00 ganger raskere. Med sortering: Lineært søk 230,00 ganger raskere.
10000        | 3565         | 4700         | List         | 0,014200 ms          | 0,000200 ms          | 3,381600 ms          | 3,381400 ms         Binært søk 71,00 ganger raskere. Med sortering: Lineært søk 238,14 ganger raskere.
10000        | 3565         | ------       | LinkedList   | 0,023900 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | Nonexistent  | Array        | 0,018600 ms          | 0,000200 ms          | 1,374100 ms          | 1,373900 ms         Binært søk 93,00 ganger raskere. Med sortering: Lineært søk 73,88 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,035800 ms          | 0,000200 ms          | 2,491000 ms          | 2,490800 ms         Binært søk 179,00 ganger raskere. Med sortering: Lineært søk 69,58 ganger raskere.
10000        | Nonexistent  | ------       | LinkedList   | 0,066800 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | Nonexistent  | Array        | 0,018900 ms          | 0,000200 ms          | 1,365000 ms          | 1,364800 ms         Binært søk 94,50 ganger raskere. Med sortering: Lineært søk 72,22 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,030800 ms          | 0,000200 ms          | 2,002500 ms          | 2,002300 ms         Binært søk 154,00 ganger raskere. Med sortering: Lineært søk 65,02 ganger raskere.
10000        | Nonexistent  | ------       | LinkedList   | 0,041300 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | Nonexistent  | Array        | 0,012700 ms          | 0,000100 ms          | 1,021200 ms          | 1,021100 ms         Binært søk 127,00 ganger raskere. Med sortering: Lineært søk 80,41 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,040500 ms          | 0,000200 ms          | 2,741200 ms          | 2,741000 ms         Binært søk 202,50 ganger raskere. Med sortering: Lineært søk 67,68 ganger raskere.
10000        | Nonexistent  | ------       | LinkedList   | 0,050700 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 16858        | 25629        | Array        | 0,021600 ms          | 0,000300 ms          | 12,535000 ms         | 12,534700 ms        Binært søk 72,00 ganger raskere. Med sortering: Lineært søk 580,32 ganger raskere.
100000       | 16858        | 25629        | List         | 0,051300 ms          | 0,000500 ms          | 32,236300 ms         | 32,235800 ms        Binært søk 102,60 ganger raskere. Med sortering: Lineært søk 628,39 ganger raskere.
100000       | 16858        | ------       | LinkedList   | 0,101900 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 91271        | 98779        | Array        | 0,113900 ms          | 0,000400 ms          | 15,459200 ms         | 15,458800 ms        Binært søk 284,75 ganger raskere. Med sortering: Lineært søk 135,73 ganger raskere.
100000       | 91271        | 98779        | List         | 0,280700 ms          | 0,000400 ms          | 25,268300 ms         | 25,267900 ms        Binært søk 701,75 ganger raskere. Med sortering: Lineært søk 90,02 ganger raskere.
100000       | 91271        | ------       | LinkedList   | 0,511100 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 99775        | 46856        | Array        | 0,155500 ms          | 0,000300 ms          | 16,957200 ms         | 16,956900 ms        Binært søk 518,33 ganger raskere. Med sortering: Lineært søk 109,05 ganger raskere.
