Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
10000000     | 2814242      | 4964496      | Array        | 3,481500             | 0,001800 ms          | 1788,777100 ms       | 1788,775300 ms      Binært søk 1934,17 ganger raskere. Med sortering: Lineært søk 513,79 ganger raskere.
10000000     | 618966       | 436779       | Array        | 0,840500             | 0,001500 ms          | 1828,169300 ms       | 1828,167800 ms      Binært søk 560,33 ganger raskere. Med sortering: Lineært søk 2175,10 ganger raskere.
10000000     | 5698759      | 5043757      | Array        | 7,047900             | 0,001100 ms          | 1806,524400 ms       | 1806,523300 ms      Binært søk 6407,18 ganger raskere. Med sortering: Lineært søk 256,32 ganger raskere.
10000000     | Not found    | Not found    | Array        | 12,240300            | 0,000500 ms          | 1820,736100 ms       | 1820,735600 ms      Binært søk 24480,60 ganger raskere. Med sortering: Lineært søk 148,75 ganger raskere.
10000000     | Not found    | Not found    | Array        | 12,316400            | 0,000600 ms          | 1793,959900 ms       | 1793,959300 ms      Binært søk 20527,33 ganger raskere. Med sortering: Lineært søk 145,66 ganger raskere.
10000000     | Not found    | Not found    | Array        | 12,267300            | 0,000500 ms          | 1788,902500 ms       | 1788,902000 ms      Binært søk 24534,60 ganger raskere. Med sortering: Lineært søk 145,83 ganger raskere.
1000         | 80           | 979          | Array        | 0,016300             | 0,009500 ms          | 0,140000 ms          | 0,130500 ms         Binært søk 1,72 ganger raskere. Med sortering: Lineært søk 8,59 ganger raskere.
1000         | 595          | 852          | Array        | 0,001300             | 0,000200 ms          | 0,146700 ms          | 0,146500 ms         Binært søk 6,50 ganger raskere. Med sortering: Lineært søk 112,85 ganger raskere.
1000         | 463          | 357          | Array        | 0,001000             | 0,000200 ms          | 0,138600 ms          | 0,138400 ms         Binært søk 5,00 ganger raskere. Med sortering: Lineært søk 138,60 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,001300             | 0,000200 ms          | 0,102600 ms          | 0,102400 ms         Binært søk 6,50 ganger raskere. Med sortering: Lineært søk 78,92 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,002100             | 0,000200 ms          | 0,134600 ms          | 0,134400 ms         Binært søk 10,50 ganger raskere. Med sortering: Lineært søk 64,10 ganger raskere.
