Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
100000       | Not found    | Not found    | List         | 0,388500             | 0,000300 ms          | 27,921700 ms         | 27,921400 ms        Binært søk 1295,00 ganger raskere. Med sortering: Lineært søk 71,87 ganger raskere.
100000       | Not found    | Not found    | List         | 0,409100             | 0,000300 ms          | 25,295000 ms         | 25,294700 ms        Binært søk 1363,67 ganger raskere. Med sortering: Lineært søk 61,83 ganger raskere.
100000       | Not found    | Not found    | List         | 0,272800             | 0,000300 ms          | 23,368600 ms         | 23,368300 ms        Binært søk 909,33 ganger raskere. Med sortering: Lineært søk 85,66 ganger raskere.
1000000      | 176736       | 27316        | List         | 0,533900             | 0,000300 ms          | 263,706200 ms        | 263,705900 ms       Binært søk 1779,67 ganger raskere. Med sortering: Lineært søk 493,92 ganger raskere.
1000         | 435          | 405          | List         | 0,046900             | 0,055700 ms          | 0,493000 ms          | 0,437300 ms         Lineært søk 1,19 ganger raskere. Med sortering: Lineært søk 10,51 ganger raskere.
1000         | 588          | 434          | List         | 0,002200             | 0,000200 ms          | 0,255000 ms          | 0,254800 ms         Binært søk 11,00 ganger raskere. Med sortering: Lineært søk 115,91 ganger raskere.
1000         | 651          | 460          | List         | 0,002000             | 0,000300 ms          | 0,246100 ms          | 0,245800 ms         Binært søk 6,67 ganger raskere. Med sortering: Lineært søk 123,05 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002900             | 0,000200 ms          | 0,318300 ms          | 0,318100 ms         Binært søk 14,50 ganger raskere. Med sortering: Lineært søk 109,76 ganger raskere.
1000         | Not found    | Not found    | List         | 0,004400             | 0,000200 ms          | 0,341000 ms          | 0,340800 ms         Binært søk 22,00 ganger raskere. Med sortering: Lineært søk 77,50 ganger raskere.
1000         | Not found    | Not found    | List         | 0,004300             | 0,000200 ms          | 0,340500 ms          | 0,340300 ms         Binært søk 21,50 ganger raskere. Med sortering: Lineært søk 79,19 ganger raskere.
10000        | 2557         | 1131         | List         | 0,006900             | 0,000200 ms          | 3,380600 ms          | 3,380400 ms         Binært søk 34,50 ganger raskere. Med sortering: Lineært søk 489,94 ganger raskere.
10000        | 3005         | 6276         | List         | 0,008200             | 0,000300 ms          | 2,866300 ms          | 2,866000 ms         Binært søk 27,33 ganger raskere. Med sortering: Lineært søk 349,55 ganger raskere.
10000        | 3078         | 7417         | List         | 0,008400             | 0,000300 ms          | 3,166700 ms          | 3,166400 ms         Binært søk 28,00 ganger raskere. Med sortering: Lineært søk 376,99 ganger raskere.
10000        | Not found    | Not found    | List         | 0,042200             | 0,000200 ms          | 2,130900 ms          | 2,130700 ms         Binært søk 211,00 ganger raskere. Med sortering: Lineært søk 50,50 ganger raskere.
10000        | Not found    | Not found    | List         | 0,043800             | 0,000300 ms          | 2,982700 ms          | 2,982400 ms         Binært søk 146,00 ganger raskere. Med sortering: Lineært søk 68,10 ganger raskere.
10000        | Not found    | Not found    | List         | 0,045700             | 0,000300 ms          | 3,027500 ms          | 3,027200 ms         Binært søk 152,33 ganger raskere. Med sortering: Lineært søk 66,25 ganger raskere.
100000       | 12744        | 34227        | List         | 0,051100             | 0,000300 ms          | 32,356600 ms         | 32,356300 ms        Binært søk 170,33 ganger raskere. Med sortering: Lineært søk 633,20 ganger raskere.
100000       | 77872        | 20827        | List         | 0,210600             | 0,000300 ms          | 27,546300 ms         | 27,546000 ms        Binært søk 702,00 ganger raskere. Med sortering: Lineært søk 130,80 ganger raskere.
100000       | 3273         | 93370        | List         | 0,008900             | 0,000600 ms          | 25,233900 ms         | 25,233300 ms        Binært søk 14,83 ganger raskere. Med sortering: Lineært søk 2835,27 ganger raskere.
100000       | Not found    | Not found    | List         | 0,331500             | 0,000300 ms          | 28,499100 ms         | 28,498800 ms        Binært søk 1105,00 ganger raskere. Med sortering: Lineært søk 85,97 ganger raskere.
100000       | Not found    | Not found    | List         | 0,332000             | 0,000300 ms          | 22,696700 ms         | 22,696400 ms        Binært søk 1106,67 ganger raskere. Med sortering: Lineært søk 68,36 ganger raskere.
100000       | Not found    | Not found    | List         | 0,256700             | 0,000400 ms          | 20,913600 ms         | 20,913200 ms        Binært søk 641,75 ganger raskere. Med sortering: Lineært søk 81,47 ganger raskere.
1000000      | 236878       | 799745       | List         | 0,824600             | 0,000500 ms          | 266,925200 ms        | 266,924700 ms       Binært søk 1649,20 ganger raskere. Med sortering: Lineært søk 323,70 ganger raskere.
1000000      | 143002       | 74176        | List         | 0,587600             | 0,000400 ms          | 265,726600 ms        | 265,726200 ms       Binært søk 1469,00 ganger raskere. Med sortering: Lineært søk 452,22 ganger raskere.
1000000      | 65414        | 585139       | List         | 0,198000             | 0,000600 ms          | 266,627800 ms        | 266,627200 ms       Binært søk 330,00 ganger raskere. Med sortering: Lineært søk 1346,61 ganger raskere.
1000000      | Not found    | Not found    | List         | 2,608200             | 0,000400 ms          | 255,747200 ms        | 255,746800 ms       Binært søk 6520,50 ganger raskere. Med sortering: Lineært søk 98,06 ganger raskere.
1000000      | Not found    | Not found    | List         | 2,944300             | 0,000300 ms          | 256,744100 ms        | 256,743800 ms       Binært søk 9814,33 ganger raskere. Med sortering: Lineært søk 87,20 ganger raskere.
1000000      | Not found    | Not found    | List         | 2,579200             | 0,000400 ms          | 257,138100 ms        | 257,137700 ms       Binært søk 6448,00 ganger raskere. Med sortering: Lineært søk 99,70 ganger raskere.
10000000     | 3397447      | 3298537      | List         | 8,483200             | 0,002300 ms          | 3070,526000 ms       | 3070,523700 ms      Binært søk 3688,35 ganger raskere. Med sortering: Lineært søk 361,95 ganger raskere.
10000000     | 4349258      | 8452894      | List         | 11,873300            | 0,001600 ms          | 3123,003800 ms       | 3123,002200 ms      Binært søk 7420,81 ganger raskere. Med sortering: Lineært søk 263,03 ganger raskere.
10000000     | 3309456      | 7140455      | List         | 8,319100             | 0,001600 ms          | 3053,947700 ms       | 3053,946100 ms      Binært søk 5199,44 ganger raskere. Med sortering: Lineært søk 367,10 ganger raskere.
10000000     | Not found    | Not found    | List         | 24,830900            | 0,001100 ms          | 3059,562800 ms       | 3059,561700 ms      Binært søk 22573,55 ganger raskere. Med sortering: Lineært søk 123,22 ganger raskere.
10000000     | Not found    | Not found    | List         | 25,178700            | 0,000700 ms          | 3064,957300 ms       | 3064,956600 ms      Binært søk 35969,57 ganger raskere. Med sortering: Lineært søk 121,73 ganger raskere.
10000000     | Not found    | Not found    | List         | 24,649300            | 0,000900 ms          | 3027,987200 ms       | 3027,986300 ms      Binært søk 27388,11 ganger raskere. Med sortering: Lineært søk 122,84 ganger raskere.
1000         | 873          | 545          | List         | 0,068600             | 0,051400 ms          | 0,485200 ms          | 0,433800 ms         Binært søk 1,33 ganger raskere. Med sortering: Lineært søk 7,07 ganger raskere.
1000         | 382          | 117          | List         | 0,002600             | 0,000300 ms          | 0,295000 ms          | 0,294700 ms         Binært søk 8,67 ganger raskere. Med sortering: Lineært søk 113,46 ganger raskere.
1000         | 860          | 52           | List         | 0,004100             | 0,000300 ms          | 0,335000 ms          | 0,334700 ms         Binært søk 13,67 ganger raskere. Med sortering: Lineært søk 81,71 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002800             | 0,000200 ms          | 0,260700 ms          | 0,260500 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 93,11 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002900             | 0,000100 ms          | 0,251600 ms          | 0,251500 ms         Binært søk 29,00 ganger raskere. Med sortering: Lineært søk 86,76 ganger raskere.
1000         | Not found    | Not found    | List         | 0,003400             | 0,000100 ms          | 0,342700 ms          | 0,342600 ms         Binært søk 34,00 ganger raskere. Med sortering: Lineært søk 100,79 ganger raskere.
10000        | 2179         | 3909         | List         | 0,006000             | 0,000200 ms          | 3,003600 ms          | 3,003400 ms         Binært søk 30,00 ganger raskere. Med sortering: Lineært søk 500,60 ganger raskere.
10000        | 5160         | 457          | List         | 0,014000             | 0,000400 ms          | 2,883300 ms          | 2,882900 ms         Binært søk 35,00 ganger raskere. Med sortering: Lineært søk 205,95 ganger raskere.
10000        | 2370         | 9928         | List         | 0,006600             | 0,000200 ms          | 3,627000 ms          | 3,626800 ms         Binært søk 33,00 ganger raskere. Med sortering: Lineært søk 549,55 ganger raskere.
10000        | Not found    | Not found    | List         | 0,037700             | 0,000400 ms          | 2,997000 ms          | 2,996600 ms         Binært søk 94,25 ganger raskere. Med sortering: Lineært søk 79,50 ganger raskere.
10000        | Not found    | Not found    | List         | 0,026800             | 0,000300 ms          | 2,393000 ms          | 2,392700 ms         Binært søk 89,33 ganger raskere. Med sortering: Lineært søk 89,29 ganger raskere.
10000        | Not found    | Not found    | List         | 0,027000             | 0,000300 ms          | 2,080900 ms          | 2,080600 ms         Binært søk 90,00 ganger raskere. Med sortering: Lineært søk 77,07 ganger raskere.
100000       | 6466         | 71650        | List         | 0,018300             | 0,000300 ms          | 33,648200 ms         | 33,647900 ms        Binært søk 61,00 ganger raskere. Med sortering: Lineært søk 1838,70 ganger raskere.
100000       | 35319        | 99850        | List         | 0,094800             | 0,000400 ms          | 30,536200 ms         | 30,535800 ms        Binært søk 237,00 ganger raskere. Med sortering: Lineært søk 322,11 ganger raskere.
100000       | 57941        | 35173        | List         | 0,154600             | 0,000300 ms          | 25,599800 ms         | 25,599500 ms        Binært søk 515,33 ganger raskere. Med sortering: Lineært søk 165,59 ganger raskere.
100000       | Not found    | Not found    | List         | 0,487300             | 0,000200 ms          | 27,881200 ms         | 27,881000 ms        Binært søk 2436,50 ganger raskere. Med sortering: Lineært søk 57,22 ganger raskere.
100000       | Not found    | Not found    | List         | 0,268700             | 0,000400 ms          | 23,144000 ms         | 23,143600 ms        Binært søk 671,75 ganger raskere. Med sortering: Lineært søk 86,13 ganger raskere.
100000       | Not found    | Not found    | List         | 0,269800             | 0,000200 ms          | 23,457500 ms         | 23,457300 ms        Binært søk 1349,00 ganger raskere. Med sortering: Lineært søk 86,94 ganger raskere.
1000000      | 249206       | 327934       | List         | 0,785900             | 0,004800 ms          | 308,243200 ms        | 308,238400 ms       Binært søk 163,73 ganger raskere. Med sortering: Lineært søk 392,22 ganger raskere.
1000000      | 191145       | 688343       | List         | 0,581400             | 0,000500 ms          | 264,958300 ms        | 264,957800 ms       Binært søk 1162,80 ganger raskere. Med sortering: Lineært søk 455,72 ganger raskere.
1000000      | 25381        | 206487       | List         | 0,093100             | 0,000900 ms          | 268,355600 ms        | 268,354700 ms       Binært søk 103,44 ganger raskere. Med sortering: Lineært søk 2882,44 ganger raskere.
1000000      | Not found    | Not found    | List         | 2,703200             | 0,000300 ms          | 254,242500 ms        | 254,242200 ms       Binært søk 9010,67 ganger raskere. Med sortering: Lineært søk 94,05 ganger raskere.
1000000      | Not found    | Not found    | List         | 2,627300             | 0,000300 ms          | 267,320000 ms        | 267,319700 ms       Binært søk 8757,67 ganger raskere. Med sortering: Lineært søk 101,75 ganger raskere.
1000000      | Not found    | Not found    | List         | 3,059200             | 0,000300 ms          | 267,756900 ms        | 267,756600 ms       Binært søk 10197,33 ganger raskere. Med sortering: Lineært søk 87,53 ganger raskere.
10000000     | 3275274      | 8731469      | List         | 8,217700             | 0,001400 ms          | 2902,548000 ms       | 2902,546600 ms      Binært søk 5869,79 ganger raskere. Med sortering: Lineært søk 353,21 ganger raskere.
10000000     | 699848       | 463666       | List         | 2,054800             | 0,001600 ms          | 2930,489300 ms       | 2930,487700 ms      Binært søk 1284,25 ganger raskere. Med sortering: Lineært søk 1426,17 ganger raskere.
10000000     | 2202711      | 1296395      | List         | 5,871500             | 0,002000 ms          | 2940,839600 ms       | 2940,837600 ms      Binært søk 2935,75 ganger raskere. Med sortering: Lineært søk 500,87 ganger raskere.
10000000     | Not found    | Not found    | List         | 25,280400            | 0,000800 ms          | 2842,521900 ms       | 2842,521100 ms      Binært søk 31600,50 ganger raskere. Med sortering: Lineært søk 112,44 ganger raskere.
10000000     | Not found    | Not found    | List         | 25,451400            | 0,000500 ms          | 2844,386900 ms       | 2844,386400 ms      Binært søk 50902,80 ganger raskere. Med sortering: Lineært søk 111,76 ganger raskere.
10000000     | Not found    | Not found    | List         | 27,473200            | 0,000700 ms          | 2922,493900 ms       | 2922,493200 ms      Binært søk 39247,43 ganger raskere. Med sortering: Lineært søk 106,38 ganger raskere.
1000         | 152          | 443          | List         | 0,045900             | 0,051800 ms          | 0,532500 ms          | 0,480700 ms         Lineært søk 1,13 ganger raskere. Med sortering: Lineært søk 11,60 ganger raskere.
1000         | 47           | 174          | List         | 0,000400             | 0,000200 ms          | 0,333700 ms          | 0,333500 ms         Binært søk 2,00 ganger raskere. Med sortering: Lineært søk 834,25 ganger raskere.
1000         | 203          | 26           | List         | 0,001000             | 0,000200 ms          | 0,341000 ms          | 0,340800 ms         Binært søk 5,00 ganger raskere. Med sortering: Lineært søk 341,00 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002800             | 0,000200 ms          | 0,258400 ms          | 0,258200 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 92,29 ganger raskere.
1000         | Not found    | Not found    | List         | 0,004200             | 0,000200 ms          | 0,430100 ms          | 0,429900 ms         Binært søk 21,00 ganger raskere. Med sortering: Lineært søk 102,40 ganger raskere.
