Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
10000        | Not found    | ------       | LinkedList   | 0,040400 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 4503         | ------       | LinkedList   | 0,023500 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 91991        | ------       | LinkedList   | 0,460800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 77882        | ------       | LinkedList   | 0,733100 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,389300 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,292400 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,332600 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 80           | ------       | LinkedList   | 0,348400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 142          | ------       | LinkedList   | 0,000800 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 487          | ------       | LinkedList   | 0,002300 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004200 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,006000 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004700 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 9833         | ------       | LinkedList   | 0,039800 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 4384         | ------       | LinkedList   | 0,023000 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 2209         | ------       | LinkedList   | 0,009600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041100 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,040800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 54474        | ------       | LinkedList   | 0,408800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 5408         | ------       | LinkedList   | 0,022100 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 41651        | ------       | LinkedList   | 0,240300 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 1,260200 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 1,158800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,334900 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 225          | ------       | LinkedList   | 0,292300 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 332          | ------       | LinkedList   | 0,002600 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 3            | ------       | LinkedList   | 0,000400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,006300 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004700 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,005200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 8926         | ------       | LinkedList   | 0,045100 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 1652         | ------       | LinkedList   | 0,007100 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 4548         | ------       | LinkedList   | 0,018900 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,060700 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,040700 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 64843        | ------       | LinkedList   | 0,464900 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 42108        | ------       | LinkedList   | 0,201000 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 55780        | ------       | LinkedList   | 0,487900 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,436600 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,346300 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,593400 ms          | ------ ms            | ------ ms            | ------ ms           
